ip;int;mac;exp;vrf
10.4.89.186;Vlan992;e4:27:71:00:47:75;4;IP-TV
10.4.89.200;Vlan992;ec:4c:4d:f6:d0:45;81;IP-TV
10.4.89.205;Vlan992;e4:27:71:5c:6c:d8;47;IP-TV
10.4.89.206;Vlan992;e4:27:71:0a:1c:10;1;IP-TV
10.4.89.207;Vlan992;e4:27:71:40:a9:26;201;IP-TV
10.4.89.214;Vlan992;ec:4c:4d:f6:cb:e0;256;IP-TV
10.4.89.218;Vlan992;e4:27:71:24:f8:62;8;IP-TV
10.4.89.222;Vlan992;ec:4c:4d:f6:d2:6a;234;IP-TV
10.4.89.223;Vlan992;e4:27:71:25:11:26;0;IP-TV
10.4.89.229;Vlan992;e4:27:71:60:35:26;120;IP-TV
10.4.89.239;Vlan992;e4:27:71:1f:67:cd;172;IP-TV
10.4.89.249;Vlan992;e4:27:71:18:bd:03;3;IP-TV
10.4.90.12;Vlan992;e4:27:71:10:49:0d;205;IP-TV
10.4.90.35;Vlan992;1c:bb:a8:1a:68:fe;1;IP-TV
10.4.90.39;Vlan992;e4:27:71:0c:1c:7b;147;IP-TV
10.4.90.40;Vlan992;e4:27:71:4e:ff:77;144;IP-TV
10.4.90.43;Vlan992;e4:27:71:02:44:16;7;IP-TV
10.4.90.46;Vlan992;ec:4c:4d:f2:a8:2e;253;IP-TV
10.4.90.49;Vlan992;e4:27:71:25:0d:9d;256;IP-TV
10.4.90.54;Vlan992;00:02:9b:92:d7:33;4;IP-TV
10.4.90.57;Vlan992;e4:27:71:47:fc:d9;4;IP-TV
10.4.90.70;Vlan992;7c:bf:b1:58:df:c8;0;IP-TV
10.4.90.76;Vlan992;e4:27:71:47:e8:ff;155;IP-TV
10.4.90.78;Vlan992;bc:64:4b:a1:f6:5a;2;IP-TV
10.4.90.81;Vlan992;e4:27:71:0c:27:f8;175;IP-TV
10.4.90.83;Vlan992;e4:27:71:1f:27:51;2;IP-TV
10.4.90.89;Vlan992;1c:bb:a8:06:1b:69;1;IP-TV
10.4.90.96;Vlan992;e4:27:71:01:b5:10;2;IP-TV
10.4.90.97;Vlan992;e4:27:71:13:dd:88;117;IP-TV
10.4.90.120;Vlan992;1c:bb:a8:27:07:74;0;IP-TV
